getOperators,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,29-9,31-31,-0.004287721520431762,-0.025058852184958885,
getProgrammingLanguageSyntax,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,33-9,35-35,-0.004916674955685964,-0.029142868676145257,
getAnnotations,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,40-9,42-42,-0.004074796559157157,-0.02349225535202791,
getJavaDocs,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,47-9,49-49,-0.005916833947060314,-0.02504216656981515,
getLiterals,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,53-9,55-55,-0.004076387753896473,-0.02349382148189755,
getComments,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,60-9,62-62,-0.025310958369562906,-0.0032741270864333556,
getInStringFromStringArray,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,63-9,69-69,-0.007669344365009635,-0.04394380982402169,
getDelimeters,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,70-9,80-80,-0.009594924490413805,-0.03831291069163309,
getWhiteSpace,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,83-9,85-85,-0.004392161782310111,-0.026825569711609955,
JavaLanguage,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,7-1,86-86,-0.046555068308547366,-0.0441829632503649,
MethodOrConstructorDocument,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\MethodOrConstructorDocument.java,4-9,8-8,-0.04548205566608088,0.017110500475391272,
MethodOrConstructorDocument,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\MethodOrConstructorDocument.java,3-1,9-9,-0.01633206026397358,0.00669494443637014,
